Source_File,Page,Content_Type,Data
Adriana-Rosario-IT-Manager-Resume (TechieCV.com).pdf,1,Text,"Adriana Rosario IT Manager Milwaukee, WI • itmanager@gmail.com • +1 414-555-0182 PROFILE SUMMARY IT Manager with 13 years of experience leading IT operations in Fortune-500 financial services across financial services, healthcare, and regulated enterprise IT, specializing in IT strategy, service delivery leadership, and budget ownership, currently leading 14 IT staff. Solid technical and operational foundation across service management (ITIL 4, Agile-ITSM hybrid), collaboration (Microsoft 365), identity (Entra ID), ticketing (ServiceNow), and security and compliance (SOC 2 Type II), with strong fundamentals in service-management discipline, budget ownership, and business-partnership instincts. Deep expertise in IT strategy and roadmap ownership, service delivery against SLAs, budget and vendor management, and security and compliance oversight, applying practices such as ITIL-aligned change management and executive business reviews to deliver reliable, secure, and business-aligned IT operations. Engaged business partner working cross-functionally with Finance, Security, HR, and business-unit leadership in ITIL- driven IT organizations, contributing to executive steering committees, quarterly business reviews, and audit readiness forums with a pragmatic, outcome-first mindset. Service-oriented leader who fosters a culture of service ownership and written-decision rigor while owning a $5.4M annual IT budget and leading weekly IT leadership review sessions plus IT all-hands and career-development cycles. TECHNICAL SKILLS Frameworks & Methodologies: ITIL 4, ITSM, COBIT, ISO 20000, Agile-ITSM hybrid, change management, problem management, service request management Collaboration & Identity: Microsoft 365 (Exchange, Teams, SharePoint, OneDrive), Google Workspace, Active Directory, Entra ID, Okta, SCIM, conditional access Infrastructure & Cloud: Windows Server, Linux server administration oversight, VMware vSphere, Hyper-V, Azure, AWS, GCP, Intune for endpoints, Jamf for macOS Service Management Tools: ServiceNow (ITSM, Change, Problem, CMDB), Jira Service Management, Freshservice, Zendesk, SLA design, KPI dashboards Security & Compliance: SOC 2 Type II, ISO 27001, HIPAA, GDPR, NIST CSF, access reviews, patch management oversight, vendor risk assessments, audit readiness Budget & Vendor Management: Capex/opex budgeting, forecasting, contract negotiation, MSP management, license management, RFP/RFI, cloud cost optimization, TCO modeling Leadership & People Performance management, 1:1 cadence, career-development planning, hiring loops, IT org Management: design, cross-functional partnership, executive communication Project, BC & DR: PMP-aware program leadership, M&A IT integration, ERP/SaaS rollouts, BCDR planning, RTO/ RPO design, tabletop exercises, post-incident reviews EDUCATION University of Wisconsin-Madison B.B.A. in Management Information Madison, WI • Sep 2009 - May Systems 2013 WORK EXPERIENCE Northwestern Mutual IT Manager Milwaukee, WI • Jul 2020 - Present Lead IT operations for a Fortune-100 financial-services regional hub, managing 14 IT staff across 4 functions (helpdesk and end-user support, systems and network administration, and identity and collaboration platforms) for 4,500 internal"
Adriana-Rosario-IT-Manager-Resume (TechieCV.com).pdf,2,Text,"users across the HQ campus plus 9 regional offices. Authored a 3-year IT roadmap covering M365 modernization, an Entra ID migration from on-prem AD, and ServiceNow rollout, securing executive sponsorship and delivering 2 of 3 roadmap phases on time and on budget. Run IT operations against ITIL 4 SLAs on ServiceNow, sustaining 96% P1 resolution within 4 hours across 28,000 tickets per year and maintaining 91% CSAT on quarterly service surveys. Manage an annual IT budget of $5.4M across capex and opex, negotiating 3 MSP and licensing cycles that saved $720k/ year while expanding coverage for hybrid endpoints. Partner with the CISO on access controls, patch cadence, endpoint security, and audit readiness for SOC 2 Type II and NAIC cybersecurity examinations, clearing 2 back-to-back audits with zero IT findings. Sponsored 7 cross-functional IT projects including a regional office buildout, an ERP module rollout, and an M&A IT integration for a 200-person acquisition, delivering the integration cutover on schedule with zero P1 incidents. Primary IT point of contact for 8 business units and the regional VP forum, running quarterly IT business reviews and standing leadership 1:1s, with the CFO signing off on all 3 IT budget cycles under my tenure. Aurora Health Care IT Manager Milwaukee, WI • Jul 2015 - Jun 2020 Owned business continuity and disaster recovery for the regional medical group, including a warm-standby DR site and a 4 hours RTO / 1 hour RPO standard across clinical applications, with quarterly failover tests all passing. Authored or updated 22 IT policies covering acceptable use, BYOD, access, change management, and incident response, adopted as the regional IT standard and referenced in 2 annual HIPAA audits. Hired 11 IT staff across helpdesk, sysadmin, and network roles over 4 years, mentored 4 promotions to senior IT roles, and sustained 91% retention across the team. Worked closely with Clinical Operations, Finance, HR, and Compliance teams across 14 clinic sites, authoring 28 SOPs and runbooks that shaped the regional operating baseline and onboarding 9 new-hire IT engineers."
Assistant IT Manager Resume.pdf,1,Text,"JOHN H. SMITH P.O. Box 1673(cid:1) Callahan, FL 32011(cid:1) 800.991.5187(cid:1) info@greatresumesfast.com IT Project Manager Versatile and hands-on Project Manager who leads teams to design and implement successful IT projects that align business and IT objectives and deliver rapid results Project Management | Strategic Planning | Business Process Design Energetic, driven, and accomplished Project Manager with a track record of success in managing complex IT modernization and system integration projects. Sophisticated software development and engineering skills with genuine enthusiasm for resolving business challenges through technical innovation. Solutions driver who bridges the gap between business and technology while envisioning the bigger picture. Devises strategies to align multiple disciplines, coordinating efforts between business groups and driving complex systems integration for robust, high-quality systems that solve business problems and provide business results. (cid:2) IT Infrastructure & Standardization (cid:2) Strategic Planning & Tactical Execution (cid:2) Business Transformation Solutions (cid:2) Business Continuity & Systems Security (cid:2) Large-Scale Project Management (cid:2) Budget Management & Cost Containment (cid:2) Risk Management & Risk Mitigation (cid:2) Leadership & Performance Enhancement (cid:2) Analytical Problem Solving Abilities (cid:2) Team Collaboration, Coaching, & Motivation Professional Highlights ♦ Led and implemented complex projects and Global teams—mitigated risks, managed requirements, and worked with project stakeholders while managing expectations at the department and project levels. ♦ Trusted leader known and respected for leading successful change in projects and building credibility with executive teams and staff. ♦ Top-performing leader with record of implementing successful call center operations and IT services initiatives that increased efficiencies, reduced expenses, and increased customer and associate satisfaction. ♦ Directed the relocation of a regional data center and company regional office from Japan to Thailand; devised startup planning and managed operations within given resources, time, and budget. Professional Experience Brinkley Insurance Company Ltd.; Japan (2008—2012) VP of Information Technology—Asia Pacific Project Management | Customer Service | Infrastructure Virtualization Top-performing senior leader and Project Manager with consistent promotional career track supporting a wide range of Global IT services including Networking, Infrastructure Support, Data Center, Help Desk, and Technical Support. Determine and adapt business requirements to IT solutions that support the business needs of 3,500 users in Asia Pacific across the IT infrastructure, supporting users to increase efficiency of business operations. Maintain strong vendor relationships, develop statement of work and implement strategic negotiations for improved services. • Managed global teams including up to 10 direct and indirect reports; developed staffing plans, managed workloads, defined deliverables, hired resources, conducted performance reviews, and ensured compliance with established company policies. • Captured 60% in cost savings through a virtualization project that substantially reduced the carbon footprint from over 15 servers to less than 5 servers supporting the entire Asia Pacific region. • Spearheaded the One Notes Server consolidation and migration project—reduced server usage from 9 One Notes servers to only 1 server; improved performance and reduced maintenance efforts of engineering staff. • Championed a new, virtual support team for level II support—provided Regional support and substantial cost-savings. Pacific Regional Ltd.; Japan (2007—2008) IT/BUSINESS INTEGRATION MANAGER—Asia Pacific Global IT Strategy | Resource Management | Cross-Functional Leadership Directed Level I and Level II Help Desk support team—managed, trained, and monitored cross-functional team of 10 members. Designed and developed IT strategy to support a Regional user base of more than 1,500 users throughout Japan, Beijing, Shanghai, Hong Kong, Australia, and India. Managed a 4-month training and project collaboration to support an integrated software SAP solutions initiative to implement at 9 facilities in Asia Pacific. 1 | Page"
Assistant IT Manager Resume.pdf,2,Text,"JOHN H. SMITH 800.991.5187(cid:1) info@greatresumesfast.com BNX South Pacific Assurance Co. Ltd., Japan (2006) REGIONAL MANAGER, IT Service Delivery—Asia Pacific IT Strategy | Risk Management | Regional IT Support Led a team of 45 Level I and Level II help desk support team members providing outstanding quality IT services to 10 countries throughout Asia Pacific and serving a user base of more than 2,000. Developed IT strategy to enable growth and scalability while minimizing costs and potential risk. Canon Tech Solutions Ltd.; Japan (2001—2005) PROJECT MANAGER—Asia Pacific Project Management | Stakeholder Management | Customer Service Top-performing Project Manager leading strategic initiatives including business process automation, ERP systems implementation, and infrastructure projects for high-end clients such as KRS Tech Ltd, Asia Pacific Ltd., International Link (Japan) Co. Ltd., and Grand Primo Ltd. Led and monitored several projects with varying levels of complexity; identified and mitigated potential risks, determined project scope, managed requirements, and managed resources to support internal software development projects. META Ltd.; Japan (2000—2001) ROLLOUT PROJECT MANAGER/CONSULTANT Timeline Management | Change Management | Resource Management Directed critical, time-sensitive Windows upgrade project to support Airline Information Systems—integrated 40 offices in the Asia Pacific region within budget in only 8 months. Managed a cross-functional team of 30 project team members—managed schedules, identified and mitigated risks, and managed change control. Resource Asia Pacific Ltd.; Japan, China (1990—2000) REGIONAL PROJECT MANAGER/REGIONAL IS/IT MANAGER—Asia Pacific ERP Implementation | Project Management Best Practices | Project Leadership Managed multiple ERP application - Business Planning and Control System (BPCS) projects for manufacturing facilities throughout the Asia Pacific region. Directed on- and off-site teams of analysts and programmers and ensured project activities aligned with project requirements. Identified and mitigated potential risks; determined project scope and managed requirements. • Managed a team of 8 project team members in the migration and rollout of Asia Pacific nodes for communications network in Japan, Hong Kong, Michigan and Brazil. • Ensured Y2K compliance and enhanced overall operational efficiency and business performance through BPCS upgrade—led migration to multiple Asia Pacific locations. • Led the consolidation of five AS/400s locations to main AS/400 in Japan with migration of BPCS and various AS/400 applications; the consolidation provided cost savings in resources and security management. • Implemented cutting-edge IT and Voice infrastructure for new building facilities for the Japan regional office and manufacturing facility. • Established large, high-performance IT teams in the Japan regional office to support IT regional operations and support; utilized local resources in Japan to establish cost savings. Education, Certification & Affiliation Bachelor of Business Administration—Management Information systems; State University, Waikiki, Hawaii Information Technology Infrastructure Library (ITIL) Foundations certification, License No. ITIL/HJ445123 Member, Project Management Institute (PMI), USA PMP Training (Project Management Professional), Tech-Pro Consulting Ltd, Japan 2 | Page"
Casey-Nakamura-System-Administrator-Resume (TechieCV.com).pdf,1,Text,"Casey Nakamura System Administrator Denver, CO • sysadmin@gmail.com • +1 3035-2222 PROFILE SUMMARY System Administrator with 8 years of experience operating enterprise IT environments across aerospace engineering, telecommunications, and enterprise IT, specializing in Linux + Windows administration, virtualization, and enterprise security hardening. Solid technical background across operating systems (RHEL, Windows Server), virtualization (VMware vSphere), automation (Ansible, PowerShell), monitoring (Datadog, Nagios), and languages (Bash, Python) with strong fundamentals in networking fundamentals, change management, and audit-grade documentation. Deep expertise in enterprise-grade reliability, defense-in-depth security, configuration management, and zero-touch provisioning, leveraging methodologies such as change-management workflows and quarterly DR drills to drive stable, secure, and well-documented infrastructure. Engaged collaborator working cross-functionally with Engineering, Security, and Help Desk teams in ITIL-aligned environments, contributing to change-advisory boards, audit prep, and post-incident retrospectives with a pragmatic, ownership-first mindset. Emerging leader who shares technical excellence and fosters a culture of operational rigor and documentation discipline through PR reviews and runbooks, while leading IT-ops guild sessions and authoring widely adopted runbook and SOP templates. TECHNICAL SKILLS Operating Systems: RHEL, Ubuntu, CentOS, Debian, Windows Server 2019/2022 Virtualization & Containers: VMware vSphere, Hyper-V, Proxmox, KVM, Docker Networking: Cisco IOS, VLAN, DNS, DHCP, VPN (IPSec, OpenVPN), pfSense, Palo Alto firewalls Security & Compliance: CIS benchmarks, CrowdStrike EDR, Tenable, MFA, SOC 2, ISO 27001 Monitoring & Backup: Datadog, Nagios, Zabbix, SolarWinds, Veeam, Commvault Automation & Config: Ansible, Puppet, Chef, PowerShell DSC, Terraform Scripting Languages: Bash, PowerShell, Python, Perl Storage & Identity: NetApp SAN, Dell EMC, NFS/SMB, Active Directory, Okta SSO, LDAP EDUCATION University of Colorado Boulder B.S. in Information Technology Boulder, CO • Sep 2014 - May 2018 WORK EXPERIENCE Lockheed Martin Space Senior Systems Administrator Denver, CO • Sep 2021 - Present Owned server and OS administration for the Space Systems engineering environment supporting 2,500+ engineers, leading day-to-day operation across Linux fleet maintenance, Windows Server administration, and VMware virtualization for 600+ servers in a hybrid on-prem + Azure environment. Managed user, group, and access policies for 8,000+ accounts across Active Directory and Okta SSO, applying role-based access control with least-privilege provisioning and automated joiner/leaver workflows from HR feeds, reducing access- related help-desk tickets by 48%. Configured and maintained enterprise networking covering VLAN segmentation, DNS and DHCP, site-to-site VPNs, and firewall rule policies across 40+ Cisco switches at 3 office sites, holding 99.98% LAN uptime under change-managed maintenance windows."
Casey-Nakamura-System-Administrator-Resume (TechieCV.com).pdf,2,Text,"Hardened the fleet through monthly OS patch cycles on CIS-benchmarked baselines, CrowdStrike EDR rollout, and vulnerability remediation via Tenable, closing 180+ critical CVEs and lifting compliance posture from 78% to 97% for SOC 2 audit readiness. Built centralized monitoring on Datadog and Nagios for 600+ servers and 150+ services, defining SLO-style alert thresholds with on-call rotation rules and an alert-fatigue review cadence, cutting mean time to detect from 24 minutes to 2 minutes. Administered enterprise storage and virtualization on NetApp SAN and VMware vSphere clusters, running 120TB of file shares and 180+ VMs with RAID-10 layouts, automated tiering, and vMotion migrations for zero-downtime maintenance. Reduced operational toil from 38% to 14% through Ansible playbooks for OS provisioning and patching, PowerShell DSC for Windows configuration, and Python scripts for inventory and audit reporting, reclaiming 480+ engineer-hours per quarter for the team. Charter Communications Systems Administrator Englewood, CO • Jul 2018 - Aug 2021 Designed and operated the enterprise backup and disaster recovery program on Veeam-based image backups, Commvault for application data, and quarterly restore drills, lifting recovery point objective from 24h to 4h and successfully recovering all 5 inadvertent data-loss events without impact. Led incident response across 42 SEV1/SEV2 outages during on-call rotations, running systematic root-cause analysis, documented postmortems, and owner assignment for follow-ups, cutting mean time to resolve from 3.5 hours to 42 minutes within the first year. Maintained the team's operational documentation library covering 180+ runbooks, network and topology diagrams in Lucidchart, asset inventories in Snipe-IT, and standard operating procedures, clearing 2 back-to-back SOC 2 audits with zero findings. Worked closely with Engineering, Security, and Help Desk teams across 5 office locations to coordinate change- management windows, patch cycles, and infrastructure projects, authoring 9 operational SOPs that shaped the org's IT-ops standard and onboarding 6 new sysadmins."
Entry Level IT Networking Resume.pdf,1,Text,"DeVry University Resume Sample Packet Additional samples are available from DeVry Career Services. You may also access them online at www.kc.devry.edu/CareerServices.html. DEVRY UNIVERSITY CAREER SERVICES 816-943-7465, ROOM 221 KCC-CAREERSERVICES@DEVRY.EDU 1"
Entry Level IT Networking Resume.pdf,2,Text,TABLE OF CONTENTS Resume Samples Business Administration 3 Health Information Technology 10 Biomedical Informatics 11 Computer Information Systems Computer Engineering Technology 16 Electronics Engineering Technology Electronics and Computer Technology Network and Communications Management 19 Network Systems Administration Resume Reminders 22 Creating an Electronic Resume 23 Action Verbs 24 2
Entry Level IT Networking Resume.pdf,3,Text,"STACY WHITE 15400 E. 190th Terrace (816) 619- 9451 Kansas City, MO 64055 StacyWhite@hotmail.com OBJECTIVE Accounting graduate looking to secure a challenging position in the field of accounting where I may utilize my education, accounting software knowledge and strong attention-to-detail skills SIGNIFICANT QUALIFICATIONS • Self-disciplined, detail-oriented individual with intense interest in corporate accounting • Accustomed to the demands of critical accuracy; regularly prepare reports requiring strong attention to detail • Outstanding time management and organizational skills, which have resulted in high levels of productivity • Effective communication and excellent customer service skills • Strong computer skills and excellent aptitude to learn new programs EDUCATION Bachelor of Science in Business Administration DeVry University Concentration: Accounting Kansas City, MO Graduation Date: March 2006 GPA: 3.46 RELATED COURSEWORK Principles of Management Project Management Financial Accounting Managerial Accounting Advanced Accounting Auditing Federal Income Taxation Finance ACHIEVEMENTS Award from Missouri Society of CPAs - Most Active Student Member 2006 Customer Service Award received June 2003 DeVry University Dean’s List Employee of the Month Award received January 2006 from Farmers Insurance PROFESSIONAL EXPERIENCE Farmers Insurance Independence, MO 2003–Present Claims Assistant • Perform independently and in a team environment • Initiate contact with customers to verify claims information and advise them of the claims process • Handle minor, undisputed claims on instruction from supervisor • Respond to telephone and written inquiries regarding status of claims assigned • Maintain quality and accuracy above 98% at all times LabCo Insurance Overland Park, KS 2001–2003 Senior Policy Service Representative • Provided new and renewal quotes and processing policy endorsements • Motivated team to achieve and maintain established productivity and quality goals on a consistent basis • Trained to process claims in Auto, Home, Workers Comp, and Umbrella • Received a yearly award for providing outstanding customer service TECHNICAL SKILLS Peachtree, MS Project, MS Excel, MS Access, MS Word, MS PowerPoint, MS Outlook 3"
Entry Level IT Networking Resume.pdf,4,Text,"Aaron Miller 7600 W. 259th Street, Belton, Missouri 64012 816-238-7843 amiller@yahoo.net OBJECTIVE To obtain a career opportunity in accounting where excellent analytical and technical skills can be utilized to improve the company's profitability EDUCATION Bachelor of Science in Business Administration DeVry University Concentration: Accounting Kansas City, MO Expected graduation date: June 2008 • Cumulative GPA: 3.78, Dean’s List • Gamma Beta Phi National Honor Society 2006 - 2007 Related coursework: Successfully completed Intermediate Accounting I, II, and III, Advanced Accounting, Auditing and Federal Income Taxation PROFESSIONAL EXPERIENCE Accounting Internship Brown & Simpson CPAs--Overland Park, Kansas 2003 - Present • Utilized Peachtree accounting software for daily accounting operations • Prepared payroll and processed accounts payable/receivable • Created customer invoices/processed accounts receivable and reconciled job cost reports • Served as a liaison between clients and the firm • Verified and reconciled client inventories • Assisted clients in various administrative duties Customer Service Assistant-Office of Admissions DeVry University-- Kansas City, Missouri 2003 - 2003 • Assisted students and parents with basic admissions questions and inquiries • Processed new student applications and prepared paperwork for financial aid • Answered phone calls from customers wanting information on degree programs • Scheduled new student appointments • Utilized MS Excel to track all incoming new student inquiries, phone calls, and in-person visits Certified Associate Trainer Panzon’s Mexican Restaurant-Overland Park, Kansas 2002 - 2004 • Served as a liaison between associates and management • Balanced and reconciled all available cash drawers for the next shift • Completed certification in all available store positions • Opened a new store location and built client relationships • Administered the associate certification process for training of new employees • Assisted management with daily operations • Opened and prepared the store for customers on a daily basis COMPUTER SKILLS MS Project, MS Excel, MS Word, MS Outlook, MS Access, Oracle, Internet Explorer 4"
